age,job,marital,education,default,balance,housing,loan,subscribe
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,services,single,secondary,no,soso,yes,no,no
middle,management,divorced,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
preold,retired,married,secondary,no,soso,yes,no,no
middle,unemployed,married,secondary,no,bad,yes,no,no
middle,admin.,single,secondary,no,soso,yes,yes,no
old,retired,married,secondary,no,soso,yes,yes,no
middle,management,single,tertiary,no,soso,no,no,no
middle,unemployed,single,tertiary,no,soso,yes,no,no
preold,admin.,married,primary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,technician,single,secondary,no,soso,yes,no,no
middle,entrepreneur,divorced,tertiary,no,soso,yes,no,no
preold,admin.,divorced,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,unemployed,single,secondary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
middle,entrepreneur,married,tertiary,no,soso,yes,yes,no
middle,technician,married,secondary,no,soso,no,no,no
middle,admin.,single,primary,no,soso,yes,no,no
middle,unemployed,divorced,primary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,bad,yes,no,no
preold,blue-collar,married,tertiary,no,soso,yes,no,no
young,blue-collar,married,secondary,no,soso,yes,yes,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
preold,services,married,secondary,no,soso,yes,no,no
middle,technician,single,secondary,no,soso,no,no,no
preold,admin.,married,unknown,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,no,no,no
middle,blue-collar,single,primary,no,soso,yes,no,no
middle,services,married,primary,no,bad,yes,no,no
middle,blue-collar,divorced,secondary,no,soso,yes,no,no
middle,services,single,secondary,no,soso,yes,no,no
middle,blue-collar,married,unknown,no,bad,yes,no,no
middle,blue-collar,married,unknown,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
preold,services,married,primary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,technician,divorced,secondary,no,soso,yes,yes,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
preold,services,divorced,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,blue-collar,divorced,primary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,yes,no,no
preold,entrepreneur,divorced,primary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,entrepreneur,married,tertiary,no,soso,yes,no,no
preold,technician,married,secondary,no,bad,yes,no,no
middle,admin.,divorced,secondary,no,soso,yes,no,no
middle,technician,divorced,tertiary,no,soso,yes,yes,no
middle,blue-collar,single,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,yes,no
middle,technician,married,primary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,no,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,yes,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,services,divorced,secondary,no,soso,yes,yes,no
middle,technician,married,tertiary,no,soso,yes,yes,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
preold,blue-collar,divorced,primary,no,soso,yes,no,no
young,blue-collar,single,primary,no,soso,yes,yes,no
old,blue-collar,divorced,secondary,no,soso,no,no,no
middle,technician,married,secondary,no,soso,no,no,no
preold,services,single,primary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,yes,no
preold,admin.,married,secondary,no,soso,yes,no,no
young,blue-collar,married,primary,no,soso,no,no,no
middle,blue-collar,married,secondary,no,soso,yes,yes,no
middle,admin.,divorced,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
young,management,single,tertiary,no,soso,yes,no,no
middle,technician,single,tertiary,no,soso,yes,yes,no
preold,management,married,primary,no,soso,yes,no,no
preold,technician,single,secondary,no,bad,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,bad,yes,no,no
young,student,single,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,bad,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,bad,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,services,single,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
middle,technician,divorced,tertiary,no,bad,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
young,services,single,secondary,no,bad,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,entrepreneur,married,primary,no,soso,yes,no,no
middle,services,divorced,secondary,no,soso,yes,yes,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,management,single,unknown,no,soso,yes,no,no
middle,management,married,secondary,no,soso,no,no,no
middle,admin.,married,secondary,no,soso,no,no,no
young,unknown,single,primary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
preold,services,single,primary,no,soso,yes,no,no
middle,housemaid,married,secondary,no,soso,yes,no,no
young,blue-collar,single,secondary,no,soso,yes,no,no
preold,management,married,primary,no,bad,yes,no,no
middle,technician,married,tertiary,no,soso,yes,no,no
middle,self-employed,married,primary,no,soso,no,no,no
preold,technician,single,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,yes,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,admin.,married,primary,no,soso,yes,no,no
middle,blue-collar,single,unknown,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,yes
preold,technician,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,tertiary,no,bad,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
middle,management,divorced,tertiary,no,soso,yes,no,no
preold,blue-collar,single,secondary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,yes,no,no
middle,entrepreneur,married,primary,no,soso,yes,no,no
preold,housemaid,divorced,unknown,no,soso,yes,no,no
preold,admin.,married,primary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,services,single,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,no,no,no
middle,blue-collar,single,secondary,no,bad,yes,yes,no
preold,technician,married,unknown,no,soso,yes,no,no
young,services,single,secondary,no,soso,no,no,no
middle,admin.,married,tertiary,no,soso,yes,no,no
preold,technician,married,primary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
preold,blue-collar,divorced,primary,no,bad,yes,no,no
middle,services,single,secondary,no,soso,yes,no,no
middle,admin.,single,secondary,no,bad,yes,no,no
preold,technician,divorced,secondary,no,soso,yes,yes,no
middle,services,divorced,secondary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,yes,no
preold,blue-collar,married,secondary,no,soso,yes,yes,no
preold,retired,divorced,primary,no,soso,yes,yes,no
preold,blue-collar,married,primary,yes,soso,yes,no,no
preold,blue-collar,divorced,primary,no,soso,yes,no,no
middle,blue-collar,divorced,secondary,no,soso,yes,no,no
middle,technician,single,unknown,no,soso,yes,no,no
preold,retired,divorced,secondary,no,ok,yes,no,no
preold,blue-collar,married,unknown,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,technician,married,primary,no,soso,yes,no,no
young,management,married,tertiary,no,soso,yes,yes,yes
preold,services,married,primary,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,bad,no,no,no
young,services,married,primary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
middle,blue-collar,single,primary,no,soso,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,yes,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
young,management,married,tertiary,no,soso,yes,no,no
young,blue-collar,married,primary,no,bad,yes,no,no
middle,technician,divorced,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,management,married,primary,no,soso,yes,no,no
preold,blue-collar,single,tertiary,no,soso,yes,no,yes
middle,services,divorced,secondary,no,soso,yes,no,no
middle,entrepreneur,married,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,yes,no
middle,services,single,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
middle,admin.,single,secondary,no,bad,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
preold,admin.,divorced,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,bad,yes,no,no
middle,admin.,divorced,secondary,no,soso,yes,no,no
middle,management,divorced,tertiary,no,soso,yes,no,no
preold,technician,divorced,secondary,no,soso,yes,yes,no
young,admin.,single,secondary,no,soso,yes,no,no
middle,unemployed,married,primary,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,tertiary,no,soso,yes,no,no
preold,retired,married,unknown,no,soso,no,no,no
young,admin.,single,secondary,no,soso,yes,no,no
young,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,self-employed,single,tertiary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,yes,yes,no
middle,services,married,secondary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
young,technician,single,secondary,no,soso,yes,no,no
middle,admin.,divorced,secondary,no,soso,yes,no,no
middle,management,married,primary,no,soso,yes,no,no
middle,blue-collar,single,secondary,yes,bad,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,bad,yes,no,no
middle,technician,single,tertiary,no,soso,yes,no,yes
middle,blue-collar,married,primary,no,soso,no,no,yes
middle,technician,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,yes,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
young,management,single,tertiary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
young,services,divorced,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
young,admin.,divorced,secondary,no,soso,yes,yes,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,entrepreneur,married,primary,no,soso,yes,no,no
middle,self-employed,married,primary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,yes,no
preold,retired,married,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,bad,yes,no,no
preold,management,divorced,tertiary,no,soso,yes,no,no
middle,blue-collar,divorced,primary,no,soso,yes,no,no
middle,entrepreneur,divorced,tertiary,no,bad,yes,no,no
middle,blue-collar,married,primary,no,bad,yes,no,no
middle,management,divorced,tertiary,no,soso,yes,no,yes
middle,management,married,tertiary,no,soso,yes,yes,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
preold,management,married,primary,yes,soso,yes,yes,no
young,housemaid,divorced,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,yes,bad,no,no,no
middle,blue-collar,single,primary,no,soso,yes,no,yes
middle,entrepreneur,single,secondary,no,soso,yes,no,no
middle,unemployed,single,secondary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,yes,yes,no
young,blue-collar,married,secondary,no,soso,yes,no,no
young,technician,single,secondary,no,soso,no,no,no
middle,technician,married,tertiary,no,soso,yes,no,no
middle,housemaid,married,secondary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
preold,blue-collar,single,tertiary,no,soso,yes,no,no
preold,blue-collar,divorced,primary,no,bad,yes,no,no
middle,blue-collar,single,primary,no,soso,yes,no,no
middle,management,single,tertiary,no,ok,yes,yes,no
middle,management,single,tertiary,no,soso,yes,yes,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,yes,no
preold,blue-collar,single,unknown,no,soso,yes,no,no
preold,admin.,single,secondary,no,soso,yes,no,no
middle,services,single,tertiary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
preold,admin.,single,primary,no,soso,yes,no,no
young,blue-collar,married,secondary,yes,soso,yes,no,no
middle,management,married,secondary,no,soso,yes,no,no
young,student,single,secondary,no,soso,yes,no,no
preold,retired,married,secondary,no,soso,yes,yes,no
middle,admin.,divorced,secondary,no,soso,yes,no,no
preold,unemployed,married,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,ok,yes,no,no
preold,technician,divorced,secondary,no,soso,yes,no,no
young,admin.,single,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
old,blue-collar,married,primary,no,soso,yes,no,no
middle,self-employed,married,tertiary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
middle,entrepreneur,married,tertiary,no,ok,yes,no,no
preold,technician,married,unknown,no,soso,yes,no,no
young,services,married,secondary,no,soso,yes,no,no
middle,technician,married,unknown,no,soso,yes,no,no
middle,blue-collar,single,primary,no,soso,yes,no,no
young,blue-collar,married,secondary,no,ok,yes,no,no
middle,blue-collar,single,primary,no,soso,yes,yes,no
preold,services,married,secondary,no,soso,yes,no,no
preold,management,married,secondary,no,soso,yes,no,no
young,blue-collar,single,primary,no,soso,yes,no,no
middle,technician,single,secondary,no,soso,yes,no,no
preold,services,married,secondary,no,bad,yes,no,yes
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,no,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
preold,retired,married,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
preold,admin.,divorced,secondary,no,soso,yes,no,no
middle,services,divorced,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
middle,self-employed,married,tertiary,no,soso,yes,no,no
preold,admin.,married,primary,no,soso,yes,no,no
middle,blue-collar,married,primary,yes,bad,yes,no,no
old,retired,married,primary,no,bad,yes,no,no
middle,technician,single,tertiary,no,soso,yes,no,no
middle,services,divorced,secondary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
middle,technician,single,unknown,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,yes,no
middle,technician,single,secondary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,yes,yes,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
young,blue-collar,married,secondary,no,soso,yes,no,no
middle,management,single,tertiary,no,ok,yes,no,no
middle,admin.,married,secondary,no,soso,yes,no,yes
middle,self-employed,married,secondary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,entrepreneur,married,unknown,no,soso,yes,no,no
preold,technician,married,secondary,no,soso,no,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
preold,blue-collar,single,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,technician,single,tertiary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
young,student,single,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
young,blue-collar,single,secondary,no,bad,yes,no,no
middle,admin.,single,secondary,no,soso,no,no,no
middle,unknown,single,primary,no,soso,yes,no,no
middle,entrepreneur,married,secondary,no,soso,no,no,no
middle,technician,single,secondary,no,soso,yes,no,no
preold,services,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
preold,services,married,secondary,no,soso,no,no,no
middle,technician,married,tertiary,no,soso,yes,no,no
young,technician,single,tertiary,no,soso,yes,no,no
middle,management,divorced,tertiary,no,soso,yes,no,no
young,technician,married,primary,no,bad,yes,no,no
preold,unemployed,single,tertiary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,no,no,no
middle,management,divorced,tertiary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
preold,services,married,secondary,no,soso,yes,no,no
preold,housemaid,married,secondary,no,ok,yes,no,no
middle,blue-collar,married,secondary,no,bad,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,technician,single,secondary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,no,no,no
middle,admin.,single,secondary,no,bad,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
preold,blue-collar,married,unknown,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,no,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
preold,entrepreneur,married,primary,no,bad,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,yes,no
middle,blue-collar,married,secondary,yes,bad,yes,no,no
middle,technician,married,secondary,no,bad,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,technician,single,tertiary,no,soso,yes,no,no
preold,technician,married,tertiary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
preold,admin.,divorced,secondary,no,soso,yes,no,no
preold,technician,married,primary,no,soso,yes,no,no
preold,management,single,tertiary,yes,soso,no,no,no
middle,technician,married,tertiary,no,soso,yes,no,no
middle,blue-collar,divorced,secondary,no,soso,yes,no,no
young,student,single,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
preold,admin.,divorced,secondary,no,soso,yes,yes,yes
preold,services,divorced,secondary,no,soso,yes,no,no
middle,admin.,divorced,secondary,no,soso,yes,no,no
preold,services,married,secondary,no,bad,yes,no,no
preold,technician,married,secondary,no,soso,yes,no,no
middle,admin.,married,secondary,no,soso,yes,yes,no
young,services,married,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,yes,no
middle,services,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,no,no,no
preold,blue-collar,married,primary,no,soso,yes,yes,no
preold,blue-collar,married,primary,no,bad,yes,no,no
middle,blue-collar,married,secondary,no,soso,no,no,no
middle,blue-collar,married,primary,no,soso,yes,yes,no
middle,blue-collar,divorced,secondary,no,soso,yes,yes,no
middle,entrepreneur,married,secondary,no,soso,yes,yes,no
young,services,married,primary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,bad,yes,no,no
young,blue-collar,married,unknown,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,technician,single,tertiary,no,soso,yes,no,no
middle,unemployed,married,primary,yes,bad,yes,no,no
middle,services,single,secondary,no,bad,yes,no,no
preold,blue-collar,married,primary,no,soso,no,no,no
young,self-employed,married,tertiary,no,soso,yes,yes,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,bad,yes,no,no
young,admin.,divorced,secondary,no,soso,yes,no,yes
middle,services,married,secondary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,yes
preold,blue-collar,married,primary,no,soso,yes,no,no
young,student,single,tertiary,no,soso,yes,no,no
middle,technician,single,tertiary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,no,no,no
preold,admin.,divorced,secondary,no,soso,yes,yes,no
preold,admin.,single,secondary,no,soso,no,no,no
old,retired,married,primary,no,soso,no,no,no
middle,management,single,tertiary,no,soso,yes,no,no
middle,admin.,divorced,secondary,no,soso,no,no,no
young,management,single,tertiary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,no,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,housemaid,married,primary,no,soso,yes,no,no
middle,admin.,married,primary,no,soso,yes,no,no
middle,management,married,tertiary,no,bad,no,no,no
preold,retired,divorced,tertiary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
young,management,single,tertiary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,yes,no
young,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,services,divorced,secondary,no,soso,yes,no,no
middle,services,single,secondary,no,bad,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,yes,no
middle,blue-collar,married,secondary,no,bad,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
preold,management,married,primary,no,soso,yes,no,no
young,student,single,unknown,no,bad,yes,no,no
young,blue-collar,single,secondary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
young,services,married,secondary,no,soso,yes,yes,no
preold,admin.,divorced,tertiary,no,soso,yes,no,no
middle,blue-collar,divorced,secondary,no,soso,yes,no,no
middle,technician,married,unknown,no,soso,yes,yes,no
middle,blue-collar,married,primary,no,soso,yes,no,no
young,services,single,secondary,no,soso,no,no,no
middle,services,married,secondary,no,soso,no,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,technician,single,tertiary,no,soso,yes,no,no
middle,technician,married,unknown,no,soso,yes,yes,no
middle,blue-collar,married,secondary,no,bad,yes,no,no
middle,management,divorced,tertiary,no,soso,yes,no,yes
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,management,married,secondary,yes,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,technician,married,unknown,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,divorced,primary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,yes,no
old,technician,married,unknown,no,soso,yes,no,no
middle,management,single,tertiary,no,bad,yes,no,no
preold,blue-collar,married,secondary,no,soso,yes,no,no
young,entrepreneur,married,tertiary,no,soso,yes,yes,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,single,primary,no,soso,yes,no,no
preold,admin.,divorced,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,services,divorced,secondary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,yes,no
middle,blue-collar,single,secondary,no,soso,yes,yes,no
middle,unemployed,divorced,secondary,no,ok,no,no,no
preold,blue-collar,married,secondary,no,soso,yes,yes,no
middle,self-employed,married,primary,no,soso,yes,no,no
young,technician,single,secondary,no,soso,yes,yes,no
young,blue-collar,single,secondary,no,bad,no,no,no
preold,admin.,divorced,secondary,no,soso,no,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
preold,self-employed,divorced,secondary,no,soso,yes,no,no
preold,entrepreneur,married,unknown,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
young,management,divorced,tertiary,no,soso,yes,yes,no
middle,services,married,secondary,no,soso,yes,yes,no
middle,services,single,secondary,no,soso,yes,no,no
preold,entrepreneur,married,primary,no,soso,yes,no,no
preold,blue-collar,divorced,primary,no,soso,no,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,services,single,secondary,no,soso,yes,no,no
young,blue-collar,married,tertiary,no,soso,yes,yes,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,services,married,secondary,no,soso,yes,no,no
middle,blue-collar,single,primary,no,soso,yes,no,no
preold,blue-collar,single,primary,no,soso,yes,no,no
middle,management,married,secondary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,bad,yes,no,yes
middle,retired,married,primary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
preold,blue-collar,divorced,primary,no,bad,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,yes,no
middle,services,single,unknown,no,soso,yes,no,no
old,blue-collar,divorced,primary,no,ok,yes,no,no
preold,management,married,tertiary,no,soso,no,no,no
middle,blue-collar,single,unknown,no,soso,yes,no,no
middle,technician,single,secondary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,management,divorced,tertiary,no,soso,yes,no,no
middle,technician,married,unknown,no,soso,no,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,no,no,no
middle,blue-collar,divorced,secondary,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,no,no,no
middle,unemployed,single,tertiary,no,soso,yes,no,no
middle,technician,married,secondary,no,soso,no,yes,no
middle,technician,single,secondary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,yes,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,services,divorced,secondary,no,ok,no,no,no
young,blue-collar,married,secondary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
preold,admin.,married,secondary,no,soso,yes,no,no
preold,management,divorced,tertiary,no,soso,yes,no,no
preold,blue-collar,married,primary,no,soso,yes,no,no
middle,blue-collar,married,primary,no,soso,yes,no,no
middle,services,married,secondary,no,bad,yes,no,no
middle,technician,married,secondary,no,soso,yes,yes,no
preold,entrepreneur,married,tertiary,no,bad,no,no,no
middle,self-employed,single,tertiary,no,soso,yes,yes,no
middle,technician,single,tertiary,no,soso,yes,no,no
preold,management,married,tertiary,no,soso,yes,no,no
middle,blue-collar,married,unknown,no,soso,yes,no,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,technician,single,secondary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,yes,no
middle,blue-collar,married,secondary,no,soso,yes,no,no
middle,management,single,tertiary,no,soso,yes,no,no
young,student,single,secondary,no,soso,no,no,no
middle,unemployed,married,secondary,no,soso,yes,no,no
middle,services,married,secondary,no,soso,yes,yes,no
middle,management,married,tertiary,no,soso,yes,no,no
middle,blue-collar,single,secondary,no,soso,yes,no,no
middle,admin.,single,secondary,no,soso,yes,no,no
young,blue-collar,married,secondary,no,soso,yes,no,no
